d,h,hdo,den,,,,,
6,4.7,5.4,1133,,,,,
6,4.7,5.4,1133,,,,,
6,4.7,5.4,1133,,,,,
6,4.7,7.2,1733,,,,,
6,4.6,6.9,1356,,,,,
6,4.6,6,600,,,,,
6,4.5,7.1,1044,,,,,
6,4,6.8,767,,,,,
6,3.9,6.9,1356,,,,,
6,3.8,6.1,722,,,,,
6,3.7,6,1322,,,,,
6,3.2,6.1,722,,,,,
6.1,8.1,15.8,1522,,,,,
6.1,7.4,13.2,2122,,,,,
6.1,6.7,13.2,2122,,,,,
6.1,6.6,7.1,1044,,,,,
6.1,5.8,6.9,1356,,,,,
6.1,5.5,7.2,1733,,,,,
6.1,5.3,7.1,1044,,,,,
6.1,4.8,7.2,1733,,,,,
6.1,4.7,5.4,1133,,,,,
6.1,4.6,6.8,767,,,,,
6.1,4.6,15.1,1411,,,,,
6.1,4.5,7.1,1044,,,,,
6.1,4.4,6.9,1356,,,,,
6.1,4.3,4.9,689,,,,,
6.1,4.2,6.9,1356,,,,,
6.1,4,14,2333,,,,,
6.1,3.5,5.4,1133,,,,,
6.2,10.5,15.8,1522,,,,,
6.2,9.7,14.6,789,,,,,
6.2,7.1,13.2,2122,,,,,
6.2,6.4,7.1,1044,,,,,
6.2,6.3,14.8,1967,,,,,
6.2,6.2,7.2,1733,,,,,
6.2,6.1,7.2,1733,,,,,
6.2,5.7,7.2,1733,,,,,
6.2,5.6,7.2,1733,,,,,
6.2,5.4,6.9,1356,,,,,
6.2,5.4,7.2,1733,,,,,
6.2,5.2,16.6,1656,,,,,
6.2,4.8,21.2,967,,,,,
6.2,4.7,6.9,1356,,,,,
6.2,4.6,7.1,1044,,,,,
6.2,4.6,6,600,,,,,
6.2,4.6,6,600,,,,,
6.2,4.4,7.1,1044,,,,,
6.2,4.2,18.8,1233,,,,,
6.2,3.7,14.8,1967,,,,,
6.2,3.5,6.1,722,,,,,
6.3,12.1,21.5,1667,,,,,
6.3,9.6,14.1,2200,,,,,
6.3,8.8,13.2,2122,,,,,
6.3,7.5,14,2333,,,,,
6.3,7.3,14,2333,,,,,
6.3,6.8,10.1,1522,,,,,
6.3,6.7,13.2,2122,,,,,
6.3,5.3,5.7,533,,,,,
6.3,5.2,7.2,1733,,,,,
6.3,5.1,16.2,1678,,,,,
6.3,5,6.9,1356,,,,,
6.3,4.9,6.1,722,,,,,
6.3,4.9,5.7,533,,,,,
6.3,4.8,9.7,1644,,,,,
6.3,4.6,14.8,1022,,,,,
6.3,4.5,6.8,767,,,,,
