"CW","CLR","SD","D","PLOT"
4.065,0.36,1766.666667,12.4,26
4.31,0.5,1766.666667,22.5,26
3.67,0.36,1766.666667,9.7,26
5.695,0.77,1766.666667,19.2,26
5.37,0.66,1766.666667,16.3,26
2.745,0.6,1766.666667,3.6,26
2.745,0.37,1766.666667,13.4,26
2.29,0.45,1766.666667,7.1,26
2.53,0.3,1766.666667,11.8,26
1.725,0.48,1766.666667,11.2,26
2.955,0.37,1766.666667,13.7,26
2.525,0.27,1766.666667,5.9,26
2.69,0.46,1766.666667,17.2,26
2.955,0.45,1766.666667,8.9,26
2.725,0.39,1766.666667,11.6,26
1.96,0.26,1766.666667,12.7,26
2.1,0.18,1766.666667,6.9,26
1.995,0.31,1766.666667,13.6,26
2.56,0.24,1766.666667,12.8,26
2.535,0.25,1766.666667,14.2,26
2.855,0.37,1766.666667,6.5,26
2.58,0.26,1766.666667,13.9,26
2.095,0.24,1766.666667,13.2,26
2.195,0.24,1766.666667,17.7,26
1.975,0.32,1766.666667,11.5,26
3.425,0.17,1766.666667,16.3,26
3.11,0.28,1766.666667,13.1,26
2.32,0.32,1766.666667,13.6,26
2.33,0.43,1766.666667,3.5,26
2.475,0.41,1766.666667,12.2,26
1.42,0.23,1766.666667,11.6,26
1.955,0.28,1766.666667,7.5,26
3.28,0.43,1766.666667,15.6,26
2.47,0.33,1766.666667,13.1,26
2.695,0.45,1766.666667,15.7,26
3.985,0.28,1766.666667,20.9,26
2.91,0.39,1766.666667,17.6,26
3.96,0.4,1766.666667,15.4,26
2.48,0.42,1766.666667,12.1,26
3.44,0.34,1766.666667,9.9,26
3.535,0.39,1766.666667,9.7,26
4.705,0.46,1766.666667,20.2,26
2.52,0.53,1766.666667,5.1,26
2.36,0.45,1766.666667,10.6,26
2.315,0.36,1766.666667,11.9,26
2.96,0.29,1766.666667,10.8,26
2.825,0.37,1766.666667,14.3,26
2.63,0.19,1766.666667,9.4,26
2.765,0.43,1766.666667,15.2,26
3.335,0.39,1766.666667,15,26
4.21,0.41,1766.666667,17.6,26
2.65,0.2,1766.666667,8.5,26
